filename,width,height,class,xmin,ymin,xmax,ymax
raccoon-108.jpg,604,481,raccoon,99,53,402,464
raccoon-109.jpg,192,259,raccoon,9,1,177,252
raccoon-11.jpg,660,432,raccoon,3,1,461,431
raccoon-110.jpg,184,274,raccoon,23,2,166,262
raccoon-111.jpg,768,960,raccoon,41,5,683,917
raccoon-112.jpg,800,574,raccoon,131,174,775,563
raccoon-113.jpg,640,480,raccoon,1,1,384,436
raccoon-114.jpg,625,418,raccoon,242,35,523,264
raccoon-115.jpg,426,640,raccoon,51,130,351,556
raccoon-116.jpg,660,432,raccoon,3,1,436,430
raccoon-117.jpg,640,448,raccoon,100,124,266,324
raccoon-117.jpg,640,448,raccoon,342,101,570,297
raccoon-118.jpg,448,297,raccoon,109,31,307,297
raccoon-119.jpg,400,533,raccoon,16,62,362,353
raccoon-119.jpg,400,533,raccoon,211,359,277,402
raccoon-119.jpg,400,533,raccoon,198,392,280,473
raccoon-12.jpg,259,194,raccoon,28,21,126,181
raccoon-12.jpg,259,194,raccoon,85,33,235,193
raccoon-120.jpg,660,371,raccoon,129,12,510,331
raccoon-121.jpg,600,399,raccoon,55,34,416,377
raccoon-122.jpg,178,283,raccoon,7,7,174,198
raccoon-123.jpg,640,406,raccoon,280,42,550,392
raccoon-124.jpg,259,194,raccoon,17,39,239,147
raccoon-125.jpg,259,195,raccoon,13,6,252,190
raccoon-126.jpg,255,197,raccoon,5,5,246,192
raccoon-127.jpg,253,199,raccoon,125,59,212,165
raccoon-128.jpg,259,194,raccoon,76,87,190,148
raccoon-129.jpg,639,315,raccoon,142,24,442,276
raccoon-13.jpg,660,495,raccoon,55,28,393,313
raccoon-130.jpg,640,426,raccoon,223,62,497,307
raccoon-130.jpg,640,426,raccoon,453,41,640,423
raccoon-131.jpg,259,194,raccoon,1,1,199,184
raccoon-132.jpg,259,194,raccoon,6,2,240,131
raccoon-133.jpg,490,640,raccoon,8,6,476,631
raccoon-134.jpg,225,225,raccoon,125,87,194,169
raccoon-135.jpg,640,426,raccoon,99,8,605,404
raccoon-136.jpg,256,197,raccoon,51,24,198,192
raccoon-137.jpg,320,240,raccoon,71,8,304,233
raccoon-138.jpg,259,194,raccoon,56,54,226,150
raccoon-139.jpg,259,194,raccoon,20,6,177,167
raccoon-14.jpg,900,484,raccoon,163,81,546,438
raccoon-140.jpg,204,247,raccoon,6,17,202,231
raccoon-141.jpg,249,202,raccoon,1,1,154,176
raccoon-142.jpg,1024,768,raccoon,171,162,811,740
raccoon-143.jpg,259,194,raccoon,17,29,238,162
raccoon-144.jpg,570,390,raccoon,117,42,387,390
raccoon-145.jpg,600,450,raccoon,3,36,345,450
raccoon-145.jpg,600,450,raccoon,260,41,569,449
raccoon-146.jpg,275,183,raccoon,4,4,271,180
raccoon-147.jpg,426,640,raccoon,13,1,426,486
raccoon-148.jpg,500,375,raccoon,32,177,174,316
raccoon-148.jpg,500,375,raccoon,309,172,428,315
raccoon-149.jpg,500,375,raccoon,132,50,305,246
raccoon-15.jpg,640,360,raccoon,313,61,614,360
raccoon-150.jpg,275,183,raccoon,80,62,187,169
raccoon-151.jpg,225,225,raccoon,42,94,108,224
raccoon-152.jpg,275,183,raccoon,41,60,223,155
raccoon-153.jpg,700,700,raccoon,10,1,612,700
raccoon-154.jpg,650,419,raccoon,148,56,517,346
raccoon-155.jpg,259,194,raccoon,46,91,143,169
raccoon-156.jpg,201,251,raccoon,27,27,139,243
raccoon-157.jpg,220,229,raccoon,1,1,144,209
raccoon-158.jpg,275,183,raccoon,23,23,262,177
raccoon-159.jpg,226,223,raccoon,14,11,223,221
raccoon-16.jpg,424,640,raccoon,51,178,355,632
raccoon-160.jpg,256,197,raccoon,7,42,162,197
raccoon-17.jpg,259,194,raccoon,95,60,167,118
raccoon-18.jpg,240,156,raccoon,32,25,201,130
raccoon-19.jpg,259,194,raccoon,87,8,182,89
raccoon-2.jpg,800,573,raccoon,60,51,462,499
raccoon-20.jpg,720,540,raccoon,2,29,720,503
raccoon-21.jpg,290,174,raccoon,59,2,216,171
raccoon-22.jpg,640,360,raccoon,252,76,466,335
raccoon-23.jpg,259,194,raccoon,108,1,258,194
raccoon-24.jpg,268,188,raccoon,77,48,179,156
raccoon-24.jpg,268,188,raccoon,139,77,202,145
raccoon-25.jpg,634,641,raccoon,31,82,325,641
raccoon-26.jpg,306,374,raccoon,114,5,306,337
raccoon-27.jpg,602,401,raccoon,14,38,592,373
raccoon-28.jpg,602,452,raccoon,93,80,601,452
raccoon-29.jpg,275,183,raccoon,70,6,219,179
raccoon-3.jpg,720,480,raccoon,1,1,720,476
raccoon-30.jpg,266,190,raccoon,78,25,182,177
raccoon-31.jpg,236,214,raccoon,82,21,187,197
raccoon-31.jpg,236,214,raccoon,11,55,80,145
raccoon-32.jpg,625,415,raccoon,88,92,473,328
raccoon-33.jpg,602,843,raccoon,89,12,593,843
raccoon-34.jpg,259,194,raccoon,1,2,227,194
raccoon-35.jpg,275,183,raccoon,1,1,164,183
raccoon-36.jpg,640,428,raccoon,113,27,468,428
raccoon-37.jpg,520,593,raccoon,13,1,500,592
raccoon-38.jpg,259,194,raccoon,7,17,257,180
raccoon-39.jpg,250,172,raccoon,54,12,250,166
raccoon-4.jpg,275,183,raccoon,21,11,200,183
raccoon-40.jpg,480,360,raccoon,164,53,349,275
raccoon-41.jpg,700,500,raccoon,211,78,530,468
raccoon-42.jpg,577,1024,raccoon,121,206,410,767
raccoon-43.jpg,480,360,raccoon,1,65,239,316
raccoon-44.jpg,300,168,raccoon,45,14,247,165
raccoon-45.jpg,620,372,raccoon,140,6,454,370
raccoon-46.jpg,576,318,raccoon,145,2,423,318
raccoon-47.jpg,262,193,raccoon,34,4,233,193
raccoon-48.jpg,261,193,raccoon,43,28,240,176
raccoon-49.jpg,640,395,raccoon,162,36,611,395
raccoon-5.jpg,270,187,raccoon,3,3,260,179
raccoon-50.jpg,275,183,raccoon,36,2,174,172
raccoon-51.jpg,800,599,raccoon,315,105,772,540
raccoon-52.jpg,800,533,raccoon,105,10,502,501
raccoon-53.jpg,259,194,raccoon,71,45,197,171
raccoon-54.jpg,602,339,raccoon,78,5,517,333
raccoon-55.jpg,634,417,raccoon,6,49,250,320
raccoon-55.jpg,634,417,raccoon,274,27,563,410
raccoon-56.jpg,240,210,raccoon,20,6,224,201
raccoon-57.jpg,640,425,raccoon,82,6,638,423
raccoon-58.jpg,224,225,raccoon,2,1,199,221
raccoon-59.jpg,600,600,raccoon,1,2,449,432
raccoon-6.jpg,480,360,raccoon,1,44,307,316
raccoon-60.jpg,273,185,raccoon,58,33,197,127
raccoon-61.jpg,274,184,raccoon,94,63,195,148
raccoon-61.jpg,274,184,raccoon,142,39,213,108
raccoon-62.jpg,640,407,raccoon,73,19,632,407
raccoon-63.jpg,600,400,raccoon,74,107,280,290
raccoon-63.jpg,600,400,raccoon,227,93,403,298
raccoon-64.jpg,259,194,raccoon,1,1,247,194
raccoon-65.jpg,480,360,raccoon,123,27,338,284
raccoon-66.jpg,860,484,raccoon,220,37,697,440
raccoon-67.jpg,272,185,raccoon,18,17,224,168
raccoon-68.jpg,640,423,raccoon,1,24,517,423
raccoon-69.jpg,205,246,raccoon,12,11,188,240
raccoon-7.jpg,410,308,raccoon,92,79,271,264
raccoon-70.jpg,500,375,raccoon,60,4,421,369
raccoon-71.jpg,640,426,raccoon,129,51,628,373
raccoon-72.jpg,560,420,raccoon,219,195,446,375
raccoon-72.jpg,560,420,raccoon,98,34,284,336
raccoon-73.jpg,284,177,raccoon,56,16,274,166
raccoon-74.jpg,800,533,raccoon,141,6,472,505
raccoon-75.jpg,640,640,raccoon,1,1,640,459
raccoon-76.jpg,225,225,raccoon,14,1,212,132
raccoon-77.jpg,640,360,raccoon,161,1,627,330
raccoon-78.jpg,223,226,raccoon,28,15,221,216
raccoon-79.jpg,640,425,raccoon,120,1,568,425
raccoon-8.jpg,259,194,raccoon,16,11,236,175
raccoon-80.jpg,225,225,raccoon,21,27,177,182
raccoon-81.jpg,600,450,raccoon,4,54,574,410
raccoon-82.jpg,750,500,raccoon,6,1,632,500
raccoon-83.jpg,660,371,raccoon,104,3,509,369
raccoon-84.jpg,303,166,raccoon,31,6,197,163
raccoon-85.jpg,620,465,raccoon,236,87,598,429
raccoon-86.jpg,600,401,raccoon,129,34,475,401
raccoon-87.jpg,256,197,raccoon,1,3,206,191
raccoon-88.jpg,640,480,raccoon,116,41,526,436
raccoon-89.jpg,259,194,raccoon,18,6,225,176
raccoon-9.jpg,347,510,raccoon,10,7,347,471
raccoon-90.jpg,640,426,raccoon,44,90,577,426
raccoon-91.jpg,236,314,raccoon,22,14,216,308
raccoon-92.jpg,960,640,raccoon,37,32,729,543
raccoon-93.jpg,251,201,raccoon,66,29,233,190
raccoon-94.jpg,700,467,raccoon,155,10,543,445
raccoon-95.jpg,320,400,raccoon,50,45,272,289
raccoon-96.jpg,230,219,raccoon,28,25,203,175
raccoon-97.jpg,500,393,raccoon,1,32,343,307
raccoon-98.jpg,480,360,raccoon,108,31,351,308
raccoon-99.jpg,252,228,raccoon,15,40,132,226
